industry_name,number_of_firms,average_all_companies,average_across_money_making_companies
Advertising,52,4.13,33.48
Aerospace/Defense,93,14.87,28.27
Air Transport,22,18.71,16.89
Apparel,64,11.16,28.09
Auto & Truck,22,4.45,6.21
Auto Parts,75,11.05,25.43
Bank (Money Center),13,26.43,30.66
Banks (Regional),676,20.66,27.66
Beverage (Alcoholic),22,8.54,25.99
Beverage (Soft),46,5.55,24.38
Broadcasting,28,18.34,31.10
Brokerage & Investment Banking,46,13.99,27.82
Building Materials,39,17.45,23.17
Business & Consumer Services,177,13.30,35.62
Cable TV,18,21.18,34.20
Chemical (Basic),46,10.88,32.10
Chemical (Diversified),10,22.47,25.86
Chemical (Specialty),103,11.16,27.58
Coal & Related Energy,42,0.99,0.82
Computer Services,119,10.48,20.31
Computers/Peripherals,64,7.35,25.37
Construction Supplies,55,16.28,29.02
Diversified,23,13.96,21.55
Drugs (Biotechnology),400,1.48,20.11
Drugs (Pharmaceutical),151,4.58,19.42
Education,42,12.18,29.81
Electrical Equipment,126,5.99,31.77
Electronics (Consumer & Office),28,4.50,25.05
Electronics (General),189,8.64,26.75
Engineering/Construction,56,14.18,34.58
Entertainment,84,4.11,29.15
Environmental & Waste Services,103,6.31,42.82
Farming/Agriculture,37,9.36,31.92
Financial Svcs. (Non-bank & Insurance),288,18.49,28.54
Food Processing,96,13.70,30.63
Food Wholesalers,14,13.47,36.78
Furn/Home Furnishings,27,14.48,21.57
Green & Renewable Energy,26,1.94,24.38
Healthcare Products,261,6.73,25.58
Healthcare Support Services,138,13.27,38.53
Heathcare Information and Technology,127,6.35,22.62
Homebuilding,35,18.11,31.35
Hospitals/Healthcare Facilities,56,10.93,22.46
Hotel/Gaming,80,11.41,18.02
Household Products,135,10.46,27.66
Information Services,67,17.93,30.25
Insurance (General),24,19.21,26.45
Insurance (Life),25,24.30,26.66
Insurance (Prop/Cas.),52,22.18,28.61
Investments & Asset Management,148,6.84,15.87
Machinery,137,15.64,28.95
Metals & Mining,124,1.80,33.52
Office Equipment & Services,25,18.65,32.01
Oil/Gas (Integrated),8,14.56,37.64
Oil/Gas (Production and Exploration),392,7.04,41.46
Oil/Gas Distribution,85,4.68,17.53
Oilfield Svcs/Equip.,161,10.99,28.68
Packaging & Container,26,18.18,26.61
Paper/Forest Products,22,11.54,19.43
Power,82,20.77,30.68
Precious Metals,147,1.33,44.83
Publshing & Newspapers,43,14.93,18.16
R.E.I.T.,213,1.24,2.23
Real Estate (Development),18,7.21,69.82
Real Estate (General/Diversified),11,9.39,20.79
Real Estate (Operations & Services),52,8.63,22.41
Recreation,68,11.25,23.19
Reinsurance,4,15.53,30.65
Restaurant/Dining,79,15.14,32.98
Retail (Automotive),30,18.76,36.53
Retail (Building Supply),5,30.64,37.06
Retail (Distributors),90,16.84,35.49
Retail (General),23,21.36,34.19
Retail (Grocery and Food),21,22.94,35.11
Retail (Online),46,9.38,22.34
Retail (Special Lines),128,20.44,35.82
Rubber& Tires,4,13.58,23.90
Semiconductor,100,10.11,21.75
Semiconductor Equip,47,6.88,20.29
Shipbuilding & Marine,14,6.75,16.29
Shoe,13,20.15,24.52
Software (Entertainment),20,1.46,12.35
Software (Internet),327,5.07,35.06
Software (System & Application),259,6.86,22.52
Steel,40,13.99,30.32
Telecom (Wireless),21,5.76,21.78
Telecom. Equipment,126,8.70,19.18
Telecom. Services,77,11.83,31.14
Tobacco,20,12.39,32.47
Transportation,21,20.08,35.84
Transportation (Railroads),10,21.30,36.99
Trucking,30,27.38,39.23
Unclassified,8,3.93,29.55
Utility (General),21,30.59,31.27
Utility (Water),19,15.10,31.71
Total Market,7887,10.76,28.09
